,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths,
1,3/1/2020,129,25,NA,0,0,NA,
2,3/2/2020,147,18,NA,0,0,NA,
3,3/3/2020,160,13,NA,0,0,NA,
4,3/4/2020,178,18,NA,0,0,NA,
5,3/5/2020,211,33,NA,0,0,NA,
6,3/6/2020,253,42,NA,0,0,NA,
7,3/7/2020,294,41,27,0,0,0,
8,3/8/2020,340,46,30,0,0,0,
9,3/9/2020,427,87,40,0,0,0,
10,3/10/2020,522,95,52,1,1,0,
11,3/11/2020,653,131,68,1,0,0,
12,3/12/2020,809,156,85,1,0,0,
13,3/13/2020,958,149,101,1,0,0,
14,3/14/2020,1101,143,115,1,0,0,
15,3/15/2020,1267,166,132,1,0,0,
16,3/16/2020,1486,219,151,1,0,0,
17,3/17/2020,1692,206,167,1,0,0,
18,3/18/2020,1874,182,174,1,0,0,
19,3/19/2020,2090,216,183,5,4,1,
20,3/20/2020,2336,246,197,8,3,1,
21,3/21/2020,2526,190,204,11,3,1,
22,3/22/2020,2774,248,215,15,4,2,
23,3/23/2020,3056,282,224,22,7,3,
24,3/24/2020,3335,279,235,25,3,3,
25,3/25/2020,3769,434,271,32,7,4,
26,3/26/2020,4136,367,292,36,4,4,
27,3/27/2020,4503,367,310,45,9,5,
28,3/28/2020,4892,389,338,53,8,6,
29,3/29/2020,5262,370,355,68,15,8,
30,3/30/2020,5875,613,403,79,11,8,
31,3/31/2020,6514,639,454,95,16,10,
32,4/1/2020,7125,611,479,114,19,12,
33,4/2/2020,7732,607,514,136,22,14,
34,4/3/2020,8526,794,575,162,26,17,
35,4/4/2020,9116,590,603,183,21,19,
36,4/5/2020,9704,588,635,206,23,20,
37,4/6/2020,10224,520,621,223,17,21,
38,4/7/2020,10924,700,630,249,26,22,
39,4/8/2020,11532,608,630,288,39,25,
40,4/9/2020,12113,581,626,323,35,27,
41,4/10/2020,12684,571,594,353,30,27,
42,4/11/2020,13155,471,577,383,30,29,
43,4/12/2020,13577,422,553,420,37,31,
44,4/13/2020,14242,665,574,462,42,34,
45,4/14/2020,14896,654,567,509,47,37,
46,4/15/2020,15738,842,601,544,35,37,
47,4/16/2020,16497,759,626,602,58,40,
48,4/17/2020,17321,824,662,641,39,41,
49,4/18/2020,17926,605,682,679,38,42,
50,4/19/2020,18403,477,689,715,36,42,
